Entity,Day,Average surface temperature
Afghanistan,9/15/1994,26.049725
Afghanistan,10/15/1994,20.995459
Afghanistan,11/15/1994,19.455561
Afghanistan,12/15/1994,9.78480086
Afghanistan,1/15/1995,8.3177339
Afghanistan,2/15/1995,10.5719577
Afghanistan,3/15/1995,13.796294
Afghanistan,4/15/1995,21.623027
Afghanistan,5/15/1995,27.445179
Afghanistan,6/15/1995,32.469326
Afghanistan,7/15/1995,35.647954999999996
Afghanistan,8/15/1995,34.319427
Afghanistan,9/15/1995,28.618382999999998
Afghanistan,10/15/1995,22.306261
Afghanistan,11/15/1995,17.1541224
Afghanistan,12/15/1995,8.4325951
Afghanistan,1/15/1996,5.9606404
Afghanistan,2/15/1996,11.3414097
Afghanistan,3/15/1996,15.503988
Afghanistan,4/15/1996,22.088622
Afghanistan,5/15/1996,26.532192000000002
Afghanistan,6/15/1996,32.72654
Afghanistan,7/15/1996,34.034096
Afghanistan,8/15/1996,32.926874
Afghanistan,9/15/1996,30.553704999999997
Afghanistan,10/15/1996,21.7137375
Afghanistan,11/15/1996,13.590137
Afghanistan,12/15/1996,10.93922687
Afghanistan,1/15/1997,9.09965545
Afghanistan,2/15/1997,8.6000614
Afghanistan,3/15/1997,14.694548600000001
Afghanistan,4/15/1997,21.161625
Afghanistan,5/15/1997,26.219635
Afghanistan,6/15/1997,32.70089
Afghanistan,7/15/1997,35.809534
Afghanistan,8/15/1997,33.626225000000005
Afghanistan,9/15/1997,29.344196
Afghanistan,10/15/1997,23.319735
Afghanistan,11/15/1997,14.981671299999999
Afghanistan,12/15/1997,9.73693946
Afghanistan,1/15/1998,8.0401428
Afghanistan,2/15/1998,9.48344594
Afghanistan,3/15/1998,15.277308999999999
