Terminal,ReportPeriod,Passenger_Count
T2,2018-09-01,636041.0
T2,2018-10-01,650219.0
T2,2018-11-01,617723.0
T2,2018-12-01,651614.0
T2,2019-01-01,612692.0
T2,2019-02-01,578039.0
T2,2019-03-01,651254.0
T2,2019-04-01,682869.0
T2,2019-05-01,747605.0
T2,2019-06-01,790725.0
T2,2019-07-01,830133.0
T2,2019-08-01,806998.0
T2,2019-09-01,704988.0
T2,2019-10-01,678624.0
T2,2019-11-01,614387.0
T2,2019-12-01,718676.0
T2,2020-01-01,632240.0
T2,2020-02-01,577905.0
T2,2020-03-01,354143.0
T2,2020-04-01,141402.625
T2,2020-05-01,141402.625
T2,2020-06-01,183502.0
T2,2020-07-01,231530.0
T2,2020-08-01,264214.0
T2,2020-09-01,317967.0
T2,2020-10-01,404787.0
T2,2020-11-01,370818.0
T2,2020-12-01,402645.0
T2,2021-01-01,363237.0
T2,2021-02-01,347810.0
T2,2021-03-01,498100.0
T2,2021-04-01,572510.0
T2,2021-05-01,885863.0
T2,2021-06-01,890849.625
T2,2021-07-01,890849.625
T2,2021-08-01,890849.625
T2,2021-09-01,842696.0
T2,2021-10-01,890849.625
T2,2021-11-01,890849.625
T2,2021-12-01,890849.625
T2,2022-01-01,728649.0
T2,2022-02-01,834066.0
T2,2022-03-01,890849.625
T2,2022-04-01,890849.625
T2,2022-05-01,890849.625
T2,2022-06-01,890849.625
T2,2022-07-01,844602.0
T2,2022-08-01,857206.0
T2,2022-09-01,813909.0
T2,2022-10-01,551046.0
T2,2022-11-01,494952.0
T2,2022-12-01,499198.0
T2,2023-01-01,501805.0
T2,2023-02-01,452432.0
T2,2023-03-01,547893.0
T2,2023-04-01,555034.0
T2,2023-05-01,602508.0
T2,2023-06-01,734136.0
T2,2023-07-01,773037.0
T2,2023-08-01,780965.0
T2,2023-09-01,668028.0
T2,2023-10-01,652874.0
T3,2006-01-01,329293.0
T3,2006-02-01,312110.0
T3,2006-03-01,370790.0
T3,2006-04-01,361300.0
T3,2006-05-01,365746.0
T3,2006-06-01,395341.0
T3,2006-07-01,448282.0
T3,2006-08-01,460648.0
T3,2006-09-01,352219.0
T3,2006-10-01,354415.0
T3,2006-11-01,370440.0
T3,2006-12-01,393321.0
T3,2007-01-01,359932.0
T3,2007-02-01,336606.0
T3,2007-03-01,420472.0
T3,2007-04-01,413037.0
T3,2007-05-01,441961.0
T3,2007-06-01,496822.0
T3,2007-07-01,550182.0
T3,2007-08-01,554121.0
T3,2007-09-01,379895.0
T3,2007-10-01,391395.0
T3,2007-11-01,377198.0
T3,2007-12-01,409017.0
T3,2008-01-01,352376.0
T3,2008-02-01,346045.0
T3,2008-03-01,414976.0
T3,2008-04-01,372612.0
T3,2008-05-01,432766.0
T3,2008-06-01,447185.0
T3,2008-07-01,479667.0
T3,2008-08-01,473525.0
T3,2008-09-01,259858.0
T3,2008-10-01,244078.0
T3,2008-11-01,239659.0
T3,2008-12-01,362029.0
T3,2009-01-01,316282.0
T3,2009-02-01,315198.0
T3,2009-03-01,387547.0
T3,2009-04-01,381299.0
T3,2009-05-01,384039.0
T3,2009-06-01,414966.0
T3,2009-07-01,436385.0
T3,2009-08-01,430912.0
T3,2009-09-01,372791.0
T3,2009-10-01,381081.0
T3,2009-11-01,379318.0
T3,2009-12-01,419514.0
T3,2010-01-01,375316.0
T3,2010-02-01,342743.0
T3,2010-03-01,407586.0
T3,2010-04-01,396341.0
T3,2010-05-01,403735.0
T3,2010-06-01,433746.0
T3,2010-07-01,458058.0
T3,2010-08-01,462540.0
T3,2010-09-01,389803.0
T3,2010-10-01,458735.0
T3,2010-11-01,460761.0
T3,2010-12-01,509259.0
T3,2011-01-01,450793.0
T3,2011-02-01,440327.0
T3,2011-03-01,536268.0
T3,2011-04-01,522794.0
T3,2011-05-01,571258.0
T3,2011-06-01,619637.0
T3,2011-07-01,660035.0
T3,2011-08-01,651358.0
T3,2011-09-01,559487.0
T3,2011-10-01,568198.0
T3,2011-11-01,560217.0
T3,2011-12-01,574904.0
T3,2012-01-01,534453.0
T3,2012-02-01,516637.0
T3,2012-03-01,537013.0
T3,2012-04-01,398297.0
T3,2012-05-01,373429.0
T3,2012-06-01,395149.0
T3,2012-07-01,427970.0
T3,2012-08-01,431570.0
T3,2012-09-01,364538.0
T3,2012-10-01,351610.0
T3,2012-11-01,352092.0
T3,2012-12-01,370565.0
T3,2013-01-01,332794.0
T3,2013-02-01,297615.0
T3,2013-03-01,374672.0
T3,2013-04-01,389514.0
T3,2013-05-01,483637.0
T3,2013-06-01,527924.0
T3,2013-07-01,553935.0
T3,2013-08-01,516539.0
T3,2013-09-01,445114.0
T3,2013-10-01,479243.0
T3,2013-11-01,410014.0
T3,2013-12-01,470843.0
T3,2014-01-01,426062.0
T3,2014-02-01,460423.0
T3,2014-03-01,620989.0
T3,2014-04-01,630440.0
T3,2014-05-01,667821.0
T3,2014-06-01,736283.0
T3,2014-07-01,768225.0
T3,2014-08-01,756541.0
T3,2014-09-01,612876.0
T3,2014-10-01,655158.0
T3,2014-11-01,462309.0
T3,2014-12-01,476729.0
T3,2015-01-01,432835.0
T3,2015-02-01,390921.0
T3,2015-03-01,467416.0
T3,2015-04-01,485522.0
T3,2015-05-01,552382.0
T3,2015-06-01,600006.0
T3,2015-07-01,643470.0
T3,2015-08-01,626993.0
T3,2015-09-01,532535.0
T3,2015-10-01,587904.0
T3,2015-11-01,573046.0
T3,2015-12-01,610011.0
T3,2016-01-01,562345.0
T3,2016-02-01,535474.0
T3,2016-03-01,619628.0
T3,2016-04-01,626503.0
T3,2016-05-01,687784.0
T3,2016-06-01,743916.0
T3,2016-07-01,797235.0
T3,2016-08-01,758594.0
T3,2016-09-01,673688.0
T3,2016-10-01,696204.0
T3,2016-11-01,675508.0
T3,2016-12-01,665063.0
T3,2017-01-01,651061.0
T3,2017-02-01,584234.0
T3,2017-03-01,699796.0
T3,2017-04-01,711270.0
T3,2017-05-01,678395.0
T3,2017-06-01,676086.0
T3,2017-07-01,692299.0
T3,2017-08-01,682075.0
T3,2017-09-01,568511.0
T3,2017-10-01,633955.0
T3,2017-11-01,598031.0
T3,2017-12-01,599352.0
T3,2018-01-01,564973.0
T3,2018-02-01,528538.0
T3,2018-03-01,692082.0
T3,2018-04-01,724947.0
T3,2018-05-01,768718.0
T3,2018-06-01,771365.0
T3,2018-07-01,820900.0
T3,2018-08-01,783430.0
T3,2018-09-01,640551.0
T3,2018-10-01,650073.0
T3,2018-11-01,607348.0
T3,2018-12-01,632481.0
T3,2019-01-01,590361.0
T3,2019-02-01,534481.0
T3,2019-03-01,732689.0
T3,2019-04-01,697256.0
T3,2019-05-01,710236.0
